time,roll,pitch,yaw,origin_x,origin_y,origin_z
0.92,-177.21234860280575,1.6636686970580168,-2.895329774668574,-158.9442684,328.6957355,36.85689088
0.93,-177.32059370605108,1.6038176030230726,-2.876178595633127,-158.9623048,328.6876324,36.84209995
0.94,-177.05552611703476,1.5760771589264622,-2.8579619917698325,-158.9228847,328.6240185,36.74773723
0.95,-177.20769632390397,1.5973828806814852,-2.857160660869621,-158.8825667,328.6187244,36.82304082
0.96,-177.1023613221271,1.6268395543377059,-2.8737884653482335,-158.929824,328.6783165,36.91847003
0.97,-177.17933393351655,1.638056068102238,-2.879656275159887,-158.9274512,328.6801694,36.85230147
0.98,-177.1905608262798,1.6130007509728743,-2.8688089944565474,-158.9181916,328.6607866,36.87164505
0.99,-177.10002963683027,1.59155168772236,-2.8697436333187385,-158.9424989,328.6649788,36.80025012
1.0,-177.19389139879922,1.5722262214923926,-2.8497829351704813,-158.907962,328.6568343,36.80378386
1.01,-177.26004929860284,1.6274879532451278,-2.8883470774579116,-158.9744179,328.6679083,36.85724659
1.02,-177.2512249840309,1.609905082121221,-2.876672101000853,-158.9381275,328.7098748,36.84982517
1.03,-177.22385050653236,1.6185588682511292,-2.8772674405783443,-158.9468254,328.6519688,36.80938207
1.04,-177.0851759794416,1.5745971358475297,-2.851457548929527,-158.9024416,328.6396435,36.82401492
1.05,-177.19047141802673,1.5620026031249339,-2.864061433236597,-158.8929654,328.6371686,36.8253781
1.06,-177.2562311029186,1.612667671636555,-2.8773462173119584,-158.9180892,328.6268597,36.79591397
1.07,-177.16559851010655,1.5985153512109556,-2.884147659432753,-158.9311065,328.6504256,36.74869427
1.08,-177.18264289902822,1.602710836194847,-2.877357417831057,-158.9093138,328.6658731,36.85402901
1.09,-177.1974833432738,1.6429233680912319,-2.8914993505225626,-158.9242427,328.6761885,36.90766057
1.1,-177.19484389141323,1.5958471660773332,-2.865810703212822,-158.8852073,328.6259959,36.83013652
1.11,-177.23288078890423,1.6028538597561157,-2.8610545235375238,-158.9574203,328.6805161,36.79943272
1.12,-177.16441499234398,1.5975840068879863,-2.867771624563286,-158.9019547,328.6962513,36.91103162
1.13,-177.1149518159478,1.592620955072371,-2.8626049599084964,-158.9269095,328.6172948,36.82043238
1.14,-177.20158745533428,1.5815706435295247,-2.865330060280123,-158.9353615,328.6872675,36.85327052
1.15,-177.311843962342,1.6272101428150658,-2.8737439955872395,-158.9023672,328.6590309,36.81506395
1.16,-177.00000763063815,1.5838545986573553,-2.8856487031807183,-158.8966186,328.7154834,36.77798273
1.17,-177.0982894288023,1.6168924264730857,-2.873050004349425,-158.947075,328.6368043,36.8086998
1.18,-177.15330081943338,1.6262819425128066,-2.9045228070036706,-158.9215389,328.7403042,36.82986204
1.19,-177.1520286639167,1.6155217146187721,-2.8703452549940867,-158.9226766,328.6433172,36.89730548
1.2,-177.22074861904363,1.6197553511015816,-2.883943634640806,-158.9667465,328.6741097,36.80875013
1.21,-177.14941808320089,1.6417993070221861,-2.8986334624724486,-158.9593611,328.7241387,36.88817367
1.22,-177.1499627314958,1.629677781544651,-2.9004424657564174,-158.9387015,328.7058416,36.85374652
1.23,-177.2365477812302,1.6073815390411963,-2.8781230786618703,-158.9191183,328.6306981,36.78801291
1.24,-177.30347324176702,1.642909036788378,-2.8910781991341983,-158.9508218,328.6592379,36.79961424
1.25,-177.24691854572686,1.6209566934020228,-2.8713410084980873,-158.9288675,328.6689561,36.90361588
1.26,-177.25862722494023,1.642533405426546,-2.8782239930508764,-158.9292761,328.6745077,36.86780718
1.27,-177.11118191967205,1.6159178608569407,-2.868661113169744,-158.9161805,328.6373239,36.89844656
1.28,-177.2061086482612,1.5778201186022325,-2.8603245295982855,-158.9320442,328.6549204,36.74148887
